PURCHASE_SESSION_ID,TOUCHPOINT_SESSION_ID,VISITOR_ID,PURCHASE_SESSION_TIMESTAMP,CLOSING_CHANNEL_GROUPING,ANCHOR_TRANSACTION_COUNT,ANCHOR_TRANSACTION_REVENUE,PURCHASE_SEQUENCE,TOUCHPOINT_TIMESTAMP,TOUCHPOINT_CHANNEL_GROUPING
8713712358107522024-1486084199-1486084199,8713712358107522024-1485458033-1485458033,8713712358107522024,2017-02-03 01:09:59.000,Organic Search,1,20.99,1,2017-01-26 19:13:53.000,Organic Search
2105122376016897629-1500915989-1500915989,2105122376016897629-1492028788-1492028788,2105122376016897629,2017-07-24 17:06:29.000,Referral,1,393.19,1,2017-04-12 20:26:28.000,Referral
0844451650874526343-1488780930-1488780930,0844451650874526343-1486669070-1486669070,0844451650874526343,2017-03-06 06:15:30.000,Referral,1,92.29,1,2017-02-09 19:37:50.000,Referral
689759983033395274-1493649889-1493649889,689759983033395274-1479742657-1479742657,689759983033395274,2017-05-01 14:44:49.000,Referral,1,69.18,1,2016-11-21 15:37:37.000,Referral
4954104372629148493-1490809977-1490809977,4954104372629148493-1490801446-1490801446,4954104372629148493,2017-03-29 17:52:57.000,Direct,1,23.99,1,2017-03-29 15:30:46.000,Direct
0304674693006681857-1498670149-1498670149,0304674693006681857-1497825170-1497825170,0304674693006681857,2017-06-28 17:15:49.000,Referral,1,39.56,1,2017-06-18 22:32:50.000,Referral
2913067759054132692-1489020391-1489020391,2913067759054132692-1485959312-1485959312,2913067759054132692,2017-03-09 00:46:31.000,Organic Search,1,68.37,1,2017-02-01 14:28:32.000,Organic Search
0898833886828084827-1473271399-1473271399,0898833886828084827-1472650053-1472650053,0898833886828084827,2016-09-07 18:03:19.000,Referral,1,378.45,1,2016-08-31 13:27:33.000,Referral
3269834865385146569-1478812111-1478812111,3269834865385146569-1478216261-1478216261,3269834865385146569,2016-11-10 21:08:31.000,Direct,1,188.9,1,2016-11-03 23:37:41.000,Direct
1063651652107093288-1476302421-1476302421,1063651652107093288-1476190812-1476190812,1063651652107093288,2016-10-12 20:00:21.000,Direct,1,38.99,1,2016-10-11 13:00:12.000,Direct
2402527199731150932-1489455011-1489455011,2402527199731150932-1489101555-1489101555,2402527199731150932,2017-03-14 01:30:11.000,Direct,1,255.9,9,2017-03-09 23:19:15.000,Direct
005339642194263188-1481910399-1481910399,005339642194263188-1481578266-1481578266,005339642194263188,2016-12-16 17:46:39.000,Organic Search,1,15.47,1,2016-12-12 21:31:06.000,Organic Search
4303041016027387041-1470946146-1470946146,4303041016027387041-1470856227-1470856227,4303041016027387041,2016-08-11 20:09:06.000,Referral,1,173.42,1,2016-08-10 19:10:27.000,Referral
7965265156545901045-1480524350-1480524350,7965265156545901045-1480453363-1480453363,7965265156545901045,2016-11-30 16:45:50.000,Direct,1,4849.6,1,2016-11-29 21:02:43.000,Direct
5958728222060412682-1482073314-1482073314,5958728222060412682-1481738756-1481738756,5958728222060412682,2016-12-18 15:01:54.000,Referral,2,119.71,1,2016-12-14 18:05:56.000,Referral
3269834865385146569-1478812111-1478812111,3269834865385146569-1477699493-1477699493,3269834865385146569,2016-11-10 21:08:31.000,Direct,1,188.9,1,2016-10-29 00:04:53.000,Direct
3835534637736706073-1494284184-1494284184,3835534637736706073-1492530457-1492530457,3835534637736706073,2017-05-08 22:56:24.000,Referral,2,78.57,1,2017-04-18 15:47:37.000,Referral
2913067759054132692-1489020391-1489020391,2913067759054132692-1485892594-1485892594,2913067759054132692,2017-03-09 00:46:31.000,Organic Search,1,68.37,1,2017-01-31 19:56:34.000,Organic Search
9952616174324085427-1476901988-1476901988,9952616174324085427-1474320192-1474320192,9952616174324085427,2016-10-19 18:33:08.000,Direct,1,90.54,1,2016-09-19 21:23:12.000,Direct
1537806691973735253-1478789613-1478789613,1537806691973735253-1478758081-1478758081,1537806691973735253,2016-11-10 14:53:33.000,Direct,1,32.99,1,2016-11-10 06:08:01.000,Direct
1511633690597496390-1476999438-1476999438,1511633690597496390-1473972391-1473972391,1511633690597496390,2016-10-20 21:37:18.000,Direct,1,411.4,1,2016-09-15 20:46:31.000,Direct
3386971884403473366-1487732320-1487732320,3386971884403473366-1486161463-1486161463,3386971884403473366,2017-02-22 02:58:40.000,Organic Search,1,40.97,1,2017-02-03 22:37:43.000,Organic Search
4518084412353571470-1495418986-1495418986,4518084412353571470-1494363769-1494363769,4518084412353571470,2017-05-22 02:09:46.000,Organic Search,1,66.92,1,2017-05-09 21:02:49.000,Direct
4495063769575332986-1486052961-1486052961,4495063769575332986-1485454924-1485454924,4495063769575332986,2017-02-02 16:29:21.000,Organic Search,1,81.99,1,2017-01-26 18:22:04.000,Organic Search
7657968382629784039-1480703971-1480703971,7657968382629784039-1480284933-1480284933,7657968382629784039,2016-12-02 18:39:31.000,Referral,1,93.74,1,2016-11-27 22:15:33.000,Referral
791764880277338045-1480988881-1480988881,791764880277338045-1480921314-1480921314,791764880277338045,2016-12-06 01:48:01.000,Referral,1,142.97,1,2016-12-05 07:01:54.000,Referral
2054197499443311442-1496776806-1496776806,2054197499443311442-1496130213-1496130213,2054197499443311442,2017-06-06 19:20:06.000,Direct,1,23.99,1,2017-05-30 07:43:33.000,Direct
9099065750965948583-1478699797-1478699797,9099065750965948583-1476898568-1476898568,9099065750965948583,2016-11-09 13:56:37.000,Referral,1,50.76,1,2016-10-19 17:36:08.000,Referral
6443595642175123029-1499300836-1499300836,6443595642175123029-1499269141-1499269141,6443595642175123029,2017-07-06 00:27:16.000,Referral,1,37.09,1,2017-07-05 15:39:01.000,Referral
5310912563447452038-1476302884-1476302884,5310912563447452038-1474239579-1474239579,5310912563447452038,2016-10-12 20:08:04.000,Organic Search,1,378.65,1,2016-09-18 22:59:39.000,Referral
8750631063700257788-1475257761-1475257761,8750631063700257788-1473880470-1473880470,8750631063700257788,2016-09-30 17:49:21.000,Referral,1,51.58,1,2016-09-14 19:14:30.000,Direct
9607694910197531314-1497469396-1497469396,9607694910197531314-1497466197-1497466197,9607694910197531314,2017-06-14 19:43:16.000,Referral,1,90.77,1,2017-06-14 18:49:57.000,Referral
268469528689115459-1471915916-1471915916,268469528689115459-1470692004-1470692004,268469528689115459,2016-08-23 01:31:56.000,Referral,1,101.89,1,2016-08-08 21:33:24.000,Referral
334730787234841354-1470849506-1470849506,334730787234841354-1470268833-1470268833,334730787234841354,2016-08-10 17:18:26.000,Organic Search,1,71.15,1,2016-08-04 00:00:33.000,Referral
2194592743396253647-1473343516-1473343516,2194592743396253647-1471958873-1471958873,2194592743396253647,2016-09-08 14:05:16.000,Social,1,25.93,1,2016-08-23 13:27:53.000,Direct
6736977205570964943-1501376885-1501376885,6736977205570964943-1499268114-1499268114,6736977205570964943,2017-07-30 01:08:05.000,Referral,1,27.77,1,2017-07-05 15:21:54.000,Referral
9702922854313747953-1488930506-1488930506,9702922854313747953-1488927929-1488927929,9702922854313747953,2017-03-07 23:48:26.000,Referral,1,407.4,1,2017-03-07 23:05:29.000,Referral
3179916194458138070-1499277920-1499277920,3179916194458138070-1497277153-1497277153,3179916194458138070,2017-07-05 18:05:20.000,Direct,1,30.54,1,2017-06-12 14:19:13.000,Direct
0207758697026045863-1497086709-1497086709,0207758697026045863-1497086701-1497086701,0207758697026045863,2017-06-10 09:25:09.000,Referral,1,73.24,1,2017-06-10 09:25:01.000,Direct
5826166060122171191-1496105892-1496105892,5826166060122171191-1495571176-1495571176,5826166060122171191,2017-05-30 00:58:12.000,Referral,1,103.7,1,2017-05-23 20:26:16.000,Referral
713731982901764318-1501459755-1501459755,713731982901764318-1501074877-1501074877,713731982901764318,2017-07-31 00:09:15.000,Referral,1,400.8,3,2017-07-26 13:14:37.000,Referral
6586739058236606680-1499136164-1499136164,6586739058236606680-1499119219-1499119219,6586739058236606680,2017-07-04 02:42:44.000,Direct,1,43.48,1,2017-07-03 22:00:19.000,Direct
1366491597789783868-1495211697-1495211697,1366491597789783868-1495053132-1495053132,1366491597789783868,2017-05-19 16:34:57.000,Direct,1,30.97,1,2017-05-17 20:32:12.000,Direct
650056086385776129-1491339974-1491339974,650056086385776129-1491332152-1491332152,650056086385776129,2017-04-04 21:06:14.000,Direct,1,1200.5,1,2017-04-04 18:55:52.000,Direct
9867098324358727615-1481153134-1481153134,9867098324358727615-1481153019-1481153019,9867098324358727615,2016-12-07 23:25:34.000,Organic Search,1,58.46,1,2016-12-07 23:23:39.000,Paid Search
005339642194263188-1481910399-1481910399,005339642194263188-1481647992-1481647992,005339642194263188,2016-12-16 17:46:39.000,Organic Search,1,15.47,1,2016-12-13 16:53:12.000,Organic Search
072965257504694282-1498238118-1498238118,072965257504694282-1496675217-1496675217,072965257504694282,2017-06-23 17:15:18.000,Referral,1,19.79,1,2017-06-05 15:06:57.000,Referral
1759779356678951325-1493396619-1493396619,1759779356678951325-1490982748-1490982748,1759779356678951325,2017-04-28 16:23:39.000,Direct,1,575.2,6,2017-03-31 17:52:28.000,Direct
5632276788326171571-1474035643-1474035643,5632276788326171571-1471872700-1471872700,5632276788326171571,2016-09-16 14:20:43.000,Direct,1,16032.75,1,2016-08-22 13:31:40.000,Direct
1977171862732443916-1497270488-1497270488,1977171862732443916-1494862134-1494862134,1977171862732443916,2017-06-12 12:28:08.000,Referral,1,1443.75,1,2017-05-15 15:28:54.000,Referral
7549308697995967647-1482786064-1482786064,7549308697995967647-1481262506-1481262506,7549308697995967647,2016-12-26 21:01:04.000,Referral,1,119.17,2,2016-12-09 05:48:26.000,Referral
7939213367478794488-1484091697-1484091697,7939213367478794488-1482516330-1482516330,7939213367478794488,2017-01-10 23:41:37.000,Direct,1,146.99,1,2016-12-23 18:05:30.000,Direct
4580502273723821061-1487604895-1487604895,4580502273723821061-1486587095-1486587095,4580502273723821061,2017-02-20 15:34:55.000,Referral,1,58.15,1,2017-02-08 20:51:35.000,Direct
9275740735751035515-1487913589-1487913589,9275740735751035515-1487319388-1487319388,9275740735751035515,2017-02-24 05:19:49.000,Referral,1,647.9,1,2017-02-17 08:16:28.000,Referral
3840247020317877106-1496556436-1496556436,3840247020317877106-1496199346-1496199346,3840247020317877106,2017-06-04 06:07:16.000,Direct,1,92.69,1,2017-05-31 02:55:46.000,Direct
5224582846346969715-1490127819-1490127819,5224582846346969715-1490125571-1490125571,5224582846346969715,2017-03-21 20:23:39.000,Referral,1,559.5,1,2017-03-21 19:46:11.000,Referral
2384771089673320764-1470861507-1470861507,2384771089673320764-1470856143-1470856143,2384771089673320764,2016-08-10 20:38:27.000,Affiliates,1,22.97,1,2016-08-10 19:09:03.000,Affiliates
9583683554162057560-1499535262-1499535262,9583683554162057560-1499279171-1499279171,9583683554162057560,2017-07-08 17:34:22.000,Organic Search,1,20.99,1,2017-07-05 18:26:11.000,Affiliates
3694234028523165868-1499026072-1499026072,3694234028523165868-1493992576-1493992576,3694234028523165868,2017-07-02 20:07:52.000,Display,1,21.19,1,2017-05-05 13:56:16.000,Affiliates
5400673732426511835-1476061968-1476061968,5400673732426511835-1474522038-1474522038,5400673732426511835,2016-10-10 01:12:48.000,Organic Search,1,22.48,1,2016-09-22 05:27:18.000,Referral
9005201499963725625-1480359013-1480359013,9005201499963725625-1474473428-1474473428,9005201499963725625,2016-11-28 18:50:13.000,Organic Search,1,99.97,1,2016-09-21 15:57:08.000,Referral
2265703789548596461-1483295231-1483295231,2265703789548596461-1482958267-1482958267,2265703789548596461,2017-01-01 18:27:11.000,Referral,1,44.57,1,2016-12-28 20:51:07.000,Display
1957458976293878100-1490380560-1490380560,1957458976293878100-1489176837-1489176837,1957458976293878100,2017-03-24 18:36:00.000,Display,1,8680.83,2,2017-03-10 20:13:57.000,Display
7323947562520019941-1487184036-1487184047,7323947562520019941-1481550937-1481550937,7323947562520019941,2017-02-15 18:40:47.000,Organic Search,1,27.97,1,2016-12-12 13:55:37.000,Display
3694234028523165868-1499026072-1499026072,3694234028523165868-1495746301-1495746301,3694234028523165868,2017-07-02 20:07:52.000,Display,1,21.19,1,2017-05-25 21:05:01.000,Display
3449924104971285851-1485971936-1485971936,3449924104971285851-1484581643-1484581643,3449924104971285851,2017-02-01 17:58:56.000,Organic Search,1,145.95,2,2017-01-16 15:47:23.000,Display
5031234556107572838-1473645171-1473645171,5031234556107572838-1473366382-1473366382,5031234556107572838,2016-09-12 01:52:51.000,Display,1,144.3,1,2016-09-08 20:26:22.000,Display
173863901552294318-1484256466-1484256466,173863901552294318-1484182512-1484182512,173863901552294318,2017-01-12 21:27:46.000,Display,1,37.76,1,2017-01-12 00:55:12.000,Display
0848187910927716390-1470159351-1470159351,0848187910927716390-1470159333-1470159333,0848187910927716390,2016-08-02 17:35:51.000,Referral,1,70.77,1,2016-08-02 17:35:33.000,Display
5687667730920600613-1501524044-1501524044,5687667730920600613-1490665107-1490665107,5687667730920600613,2017-07-31 18:00:44.000,Organic Search,1,27.99,2,2017-03-28 01:38:27.000,Social
5700698092270325485-1499575593-1499575593,5700698092270325485-1492474527-1492474527,5700698092270325485,2017-07-09 04:46:33.000,Organic Search,1,14.99,1,2017-04-18 00:15:27.000,Organic Search
1681725530840871996-1490738815-1490738815,1681725530840871996-1490717848-1490717848,1681725530840871996,2017-03-28 22:06:55.000,Organic Search,1,31.99,1,2017-03-28 16:17:28.000,Organic Search
5356435119809410470-1478184191-1478184191,5356435119809410470-1474935256-1474935256,5356435119809410470,2016-11-03 14:43:11.000,Organic Search,1,25.49,1,2016-09-27 00:14:16.000,Organic Search
3608475193341679870-1471942886-1471942886,3608475193341679870-1470797082-1470797082,3608475193341679870,2016-08-23 09:01:26.000,Paid Search,1,27.48,1,2016-08-10 02:44:42.000,Paid Search
9377429831454005466-1473195039-1473195039,9377429831454005466-1473191815-1473191815,9377429831454005466,2016-09-06 20:50:39.000,Organic Search,2,419.83,4,2016-09-06 19:56:55.000,Organic Search
1739823917347946740-1473357401-1473357401,1739823917347946740-1470065765-1470065765,1739823917347946740,2016-09-08 17:56:41.000,Organic Search,1,119.99,1,2016-08-01 15:36:05.000,Organic Search
2283620201901023754-1497588551-1497588551,2283620201901023754-1497588457-1497588457,2283620201901023754,2017-06-16 04:49:11.000,Paid Search,1,57.97,1,2017-06-16 04:47:37.000,Paid Search
0297836806162838021-1475589729-1475589729,0297836806162838021-1473357445-1473357445,0297836806162838021,2016-10-04 14:02:09.000,Organic Search,1,56.93,1,2016-09-08 17:57:25.000,Organic Search
8977039158734679466-1499809854-1499809854,8977039158734679466-1498646834-1498646834,8977039158734679466,2017-07-11 21:50:54.000,Paid Search,1,103.76,1,2017-06-28 10:47:14.000,Paid Search
5687667730920600613-1501524044-1501524044,5687667730920600613-1501514998-1501514998,5687667730920600613,2017-07-31 18:00:44.000,Organic Search,1,27.99,2,2017-07-31 15:29:58.000,Organic Search
1639589047263376521-1489479082-1489479082,1639589047263376521-1489478723-1489478723,1639589047263376521,2017-03-14 08:11:22.000,Referral,1,24.99,6,2017-03-14 08:05:23.000,Paid Search
2346359290191771618-1493828053-1493828053,2346359290191771618-1488220285-1488220285,2346359290191771618,2017-05-03 16:14:13.000,Organic Search,1,173.44,1,2017-02-27 18:31:25.000,Organic Search
1375499184080589570-1471295144-1471295144,1375499184080589570-1471295126-1471295126,1375499184080589570,2016-08-15 21:05:44.000,Organic Search,1,29.48,1,2016-08-15 21:05:26.000,Organic Search
3608475193341679870-1471942886-1471942886,3608475193341679870-1471484352-1471484352,3608475193341679870,2016-08-23 09:01:26.000,Paid Search,1,27.48,1,2016-08-18 01:39:12.000,Paid Search
3608475193341679870-1471942886-1471942886,3608475193341679870-1471819586-1471819586,3608475193341679870,2016-08-23 09:01:26.000,Paid Search,1,27.48,1,2016-08-21 22:46:26.000,Paid Search
4835082938415020542-1488766308-1488766308,4835082938415020542-1487907211-1487907211,4835082938415020542,2017-03-06 02:11:48.000,Organic Search,1,756.18,6,2017-02-24 03:33:31.000,Organic Search
4578640586284138624-1474923302-1474923302,4578640586284138624-1474495179-1474495179,4578640586284138624,2016-09-26 20:55:02.000,Organic Search,2,188.98,3,2016-09-21 21:59:39.000,Organic Search
7483600664917507409-1501537217-1501537217,7483600664917507409-1494098177-1494098177,7483600664917507409,2017-07-31 21:40:17.000,Referral,1,260.46,1,2017-05-06 19:16:17.000,Organic Search
627911872499384695-1497895393-1497895393,627911872499384695-1497495496-1497495496,627911872499384695,2017-06-19 18:03:13.000,Organic Search,1,131.73,1,2017-06-15 02:58:16.000,Organic Search
4081895043014351508-1495333130-1495333130,4081895043014351508-1490775852-1490775852,4081895043014351508,2017-05-21 02:18:50.000,Paid Search,1,18.98,1,2017-03-29 08:24:12.000,Paid Search
7634897085866546110-1483641292-1483641292,7634897085866546110-1475846055-1475846056,7634897085866546110,2017-01-05 18:34:52.000,Organic Search,1,32,1,2016-10-07 13:14:16.000,Organic Search
9264804092676520813-1472130683-1472130683,9264804092676520813-1472084417-1472084417,9264804092676520813,2016-08-25 13:11:23.000,Organic Search,6,6239.58,1,2016-08-25 00:20:17.000,Organic Search
089261173995807343-1495055887-1495055887,089261173995807343-1494945024-1494945024,089261173995807343,2017-05-17 21:18:07.000,Paid Search,1,39.98,1,2017-05-16 14:30:24.000,Paid Search
7554501152738675328-1479826771-1479826771,7554501152738675328-1476659303-1476659303,7554501152738675328,2016-11-22 14:59:31.000,Organic Search,1,58.99,1,2016-10-16 23:08:23.000,Organic Search
4224696907303131562-1475876858-1475876858,4224696907303131562-1471374404-1471374404,4224696907303131562,2016-10-07 21:47:38.000,Organic Search,1,112.71,1,2016-08-16 19:06:44.000,Organic Search
2266837403735683845-1501136533-1501136533,2266837403735683845-1499756934-1499756934,2266837403735683845,2017-07-27 06:22:13.000,Organic Search,1,11,1,2017-07-11 07:08:54.000,Organic Search
1375499184080589570-1471295144-1471295144,1375499184080589570-1471295132-1471295132,1375499184080589570,2016-08-15 21:05:44.000,Organic Search,1,29.48,1,2016-08-15 21:05:32.000,Paid Search
4134498426819570935-1489358954-1489358954,4134498426819570935-1488740930-1488740930,4134498426819570935,2017-03-12 22:49:14.000,Organic Search,1,43.96,1,2017-03-05 19:08:50.000,Organic Search
1959133989198624732-1491245259-1491245259,1959133989198624732-1487120252-1487120252,1959133989198624732,2017-04-03 18:47:39.000,Referral,1,50.74,1,2017-02-15 00:57:32.000,Organic Search
6081065027477521968-1500413148-1500413148,6081065027477521968-1500409755-1500409755,6081065027477521968,2017-07-18 21:25:48.000,Display,1,191.18,1,2017-07-18 20:29:15.000,Display
7399154610014093461-1474372054-1474372054,7399154610014093461-1473098990-1473098990,7399154610014093461,2016-09-20 11:47:34.000,Organic Search,1,35.98,1,2016-09-05 18:09:50.000,Organic Search
6986536761307654836-1493652582-1493652582,6986536761307654836-1492537059-1492537059,6986536761307654836,2017-05-01 15:29:42.000,Organic Search,1,439.07,4,2017-04-18 17:37:39.000,Organic Search
5947969981378635810-1497998013-1497998013,5947969981378635810-1497275761-1497275761,5947969981378635810,2017-06-20 22:33:33.000,Organic Search,1,30.98,1,2017-06-12 13:56:01.000,Organic Search
7445235885559107095-1490034267-1490034267,7445235885559107095-1489185030-1489185030,7445235885559107095,2017-03-20 18:24:27.000,Organic Search,1,34.98,1,2017-03-10 22:30:30.000,Organic Search
939020494867094014-1491237874-1491237874,939020494867094014-1490986696-1490986696,939020494867094014,2017-04-03 16:44:34.000,Referral,1,65.99,1,2017-03-31 18:58:16.000,Organic Search
2644257335535694123-1477808633-1477808633,2644257335535694123-1476379420-1476379420,2644257335535694123,2016-10-30 06:23:53.000,Referral,1,49.59,2,2016-10-13 17:23:40.000,Organic Search
1005326553546138067-1501270704-1501270704,1005326553546138067-1499818457-1499818457,1005326553546138067,2017-07-28 19:38:24.000,Organic Search,1,78.98,1,2017-07-12 00:14:17.000,Organic Search
6990629568536689161-1482729424-1482729424,6990629568536689161-1482729409-1482729409,6990629568536689161,2016-12-26 05:17:04.000,Organic Search,1,179.91,1,2016-12-26 05:16:49.000,Paid Search
2969957690756250633-1493240211-1493240211,2969957690756250633-1492629966-1492629966,2969957690756250633,2017-04-26 20:56:51.000,Organic Search,1,539.48,2,2017-04-19 19:26:06.000,Organic Search
5687667730920600613-1501524044-1501524044,5687667730920600613-1495374189-1495374189,5687667730920600613,2017-07-31 18:00:44.000,Organic Search,1,27.99,2,2017-05-21 13:43:09.000,Organic Search
8532069530739848157-1473019751-1473019751,8532069530739848157-1472942852-1472942852,8532069530739848157,2016-09-04 20:09:11.000,Organic Search,1,35,1,2016-09-03 22:47:32.000,Organic Search
9002364108822836989-1495565336-1495565336,9002364108822836989-1495147364-1495147364,9002364108822836989,2017-05-23 18:48:56.000,Paid Search,1,78.33,1,2017-05-18 22:42:44.000,Paid Search
